Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,015590,1996,01,37.5,Y
IDCJAC0002,015590,1996,02,36.7,Y
IDCJAC0002,015590,1996,03,33.8,Y
IDCJAC0002,015590,1996,04,28.3,Y
IDCJAC0002,015590,1996,05,23.1,Y
IDCJAC0002,015590,1996,06,23.6,Y
IDCJAC0002,015590,1996,07,21.6,Y
IDCJAC0002,015590,1996,08,23.2,Y
IDCJAC0002,015590,1996,09,30.3,Y
IDCJAC0002,015590,1996,10,32.1,Y
IDCJAC0002,015590,1996,11,35.3,Y
IDCJAC0002,015590,1996,12,36.6,Y
IDCJAC0002,015590,1997,01,35.6,Y
IDCJAC0002,015590,1997,02,33.4,Y
IDCJAC0002,015590,1997,03,31.9,Y
IDCJAC0002,015590,1997,04,28.9,Y
IDCJAC0002,015590,1997,05,21.5,Y
IDCJAC0002,015590,1997,06,19.7,Y
IDCJAC0002,015590,1997,07,17.6,Y
IDCJAC0002,015590,1997,08,23.2,Y
IDCJAC0002,015590,1997,09,30.2,Y
IDCJAC0002,015590,1997,10,30.9,Y
IDCJAC0002,015590,1997,11,36.1,Y
IDCJAC0002,015590,1997,12,36.8,Y
IDCJAC0002,015590,1998,01,38.9,Y
IDCJAC0002,015590,1998,02,37.9,Y
IDCJAC0002,015590,1998,03,34.7,Y
IDCJAC0002,015590,1998,04,27.7,Y
IDCJAC0002,015590,1998,05,24.7,Y
IDCJAC0002,015590,1998,06,19.5,Y
IDCJAC0002,015590,1998,07,19.2,Y
IDCJAC0002,015590,1998,08,24.2,Y
IDCJAC0002,015590,1998,09,28.7,Y
IDCJAC0002,015590,1998,10,32.3,Y
IDCJAC0002,015590,1998,11,33.6,Y
IDCJAC0002,015590,1998,12,35.6,Y
IDCJAC0002,015590,1999,01,39.0,Y
IDCJAC0002,015590,1999,02,36.5,Y
IDCJAC0002,015590,1999,03,36.0,Y
IDCJAC0002,015590,1999,04,27.2,Y
IDCJAC0002,015590,1999,05,27.2,Y
IDCJAC0002,015590,1999,06,20.0,Y
IDCJAC0002,015590,1999,07,20.9,Y
IDCJAC0002,015590,1999,08,23.7,Y
IDCJAC0002,015590,1999,09,29.8,Y
IDCJAC0002,015590,1999,10,31.4,Y
IDCJAC0002,015590,1999,11,32.0,Y
IDCJAC0002,015590,1999,12,33.7,Y
IDCJAC0002,015590,2000,01,36.6,Y
IDCJAC0002,015590,2000,02,32.6,Y
IDCJAC0002,015590,2000,03,32.5,Y
IDCJAC0002,015590,2000,04,25.0,Y
